login; location; followers; contributions; stars; contributionsStreak; contributionsCurrentStreak
joamag;Porto, Portugal;8;12076;7;33;33
s0undt3ch;Portugal;39;4477;23;351;0
falkTX;Viseu, Portugal;61;2790;159;82;3
Vazkii;Portugal;122;2359;232;60;12
xicombd;Lisbon, Portugal;41;1858;45;31;4
donbonifacio;Amadora, Portugal;15;1828;10;36;5
pamval;Lisbon, Portugal;8;1776;2;12;3
DDuarte;Porto, Portugal;61;1462;15;22;2
dpgaspar;Lisbon, Portugal;10;1348;195;25;0
jcarvalho;Lisbon, Portugal;14;1317;4;15;0
naps62;Braga, Portugal;33;1284;36;51;0
meqif;Caparica, Portugal;9;1237;34;33;0
pmoura;Portugal;17;1173;6;21;0
Luis-Cruz;Lisbon, Portugal;12;1106;0;6;0
bastiao;Aveiro, Portugal;33;1024;3;13;0
SYNchroACK;Lisbon, Portugal;11;1007;16;15;0
ferrolho;Portugal;37;986;11;25;0
rcarmo;Lisbon, Portugal;134;925;656;16;2
diasdavid;Lisbon, Portugal;99;920;64;9;0
davidgomes;Coimbra, Portugal;51;905;33;23;0
capitaomorte;Portugal;90;887;1282;49;0
pedroresende;Lisbon, Portugal;5;826;4;14;0
pgte;Funchal, Portugal;509;819;1491;19;0
andrerod;Lisboa, Portugal;52;803;8;13;0
Quicksaver;Portugal;16;799;101;14;0
joninvski;Portugal;35;777;53;14;0
ucodev;Portugal;10;738;25;63;20
waldyrious;Braga, Portugal;22;737;23;9;0
pedrocorreia;Lisbon, Portugal;15;735;39;5;0
ricardopereira;Coimbra, Portugal;8;717;2;12;0
goblindegook;Lisbon, Portugal;32;709;26;11;0
pedrosan7os;Lisbon, Portugal;8;703;0;6;2
SynapseR;Porto, Portugal;4;699;0;10;0
zamith;Braga, Portugal;44;699;64;18;0
rasmartins;Porto, Portugal;4;681;2;10;0
ricardomestre;Lisbon, Portugal;5;659;0;8;0
luistinygod;Lisbon, Portugal;2;656;0;10;0
carsy;Portugal;17;651;10;12;0
cusspvz;Póvoa de Varzim, Porto, Portugal;17;645;0;7;2
dfreire;Portugal;9;609;5;194;194
mlouro;Mafra, Portugal;16;606;57;10;0
joaocampinhos;Lisbon, Portugal;5;591;11;39;0
jbernardo95;Coimbra, Portugal;13;582;1;14;2
alcides;Coimbra, Portugal;113;578;163;7;0
enen92;Portugal;23;576;61;9;0
njasm;Portugal;4;574;28;9;2
luiscleto;Portugal;3;574;1;25;0
dmfrancisco;Coimbra, Portugal;60;568;483;54;6
methodmissing;Funchal, Madeira, Portugal;219;565;897;8;4
pierreozoux;Portugal;22;561;29;13;3
JosePedroDias;Lisbon, Portugal;28;560;43;14;0
ruigomeseu;Portugal;3;558;6;10;0
tritao;Portugal;37;550;46;13;5
marado;Portugal;16;542;74;28;9
apocas;Portugal;68;542;421;7;0
Raicuparta;Portugal;7;531;2;11;2
magalhas;Porto, Portugal;16;524;483;10;0
vidakovic;Portugal;4;522;1;17;17
lyncodev;Portugal;10;518;0;7;0
MrTheSoulz;Portugal;5;514;10;23;0
satazor;Porto, Portugal;184;508;217;6;3
sergiofbsilva;Lisbon, Portugal;13;491;3;5;0
guilhermesimoes;Coimbra, Portugal;20;487;20;6;0
pires;Aveiro, Portugal;62;472;386;8;2
mrfhitz;Portugal;21;467;8;8;0
rlafuente;Porto, Portugal;25;465;3;8;0
ruimarinho;Braga, Portugal;21;460;7;6;0
carlosefonseca;Portugal;8;457;23;6;0
gbl08ma;Portugal;2;447;14;187;0
rizo;Porto, Portugal;23;427;316;10;0
ruiafonsopereira;Oporto, Portugal;4;427;10;10;0
j-faria;Porto, Portugal;6;418;3;6;0
migulorama;Porto, Portugal;10;417;0;8;0
locks;Porto, Portugal;60;417;86;5;2
stanch;Lisbon, Portugal;31;417;14;7;0
DandreX;Portugal;4;412;0;9;0
SrPatinhas;Portugal;12;412;2;10;0
rmarinho;Portugal;14;395;20;10;0
SupSuper;Portugal;25;393;505;26;5
nelsonsilva;Lisboa, Portugal;30;388;269;5;0
knuxus;Lisbon, Portugal;9;371;3;8;0
mariomc;Lisbon, Portugal;18;367;16;5;0
ABaptista;Coimbra, Portugal;6;367;0;8;0
dllud;Portugal;4;367;0;23;4
taviroquai;Tavira, Portugal;11;348;32;5;0
Mafarricos;Portugal;10;328;6;8;0
ambs;Braga, Portugal;46;323;77;7;0
rogeriopvl;Lisbon, Portugal;66;318;167;8;0
nurv;Lisbon, Portugal;54;317;559;5;0
lopis;Portugal;5;317;15;6;0
totty90;Porto, Portugal;11;316;22;6;2
fimdomeio;Lisboa, Portugal;2;316;5;6;0
ruifigueira;Lisbon, Portugal;7;309;2;7;2
tsilva;Porto, Portugal;8;308;0;4;0
dteixeira;Porto, Portugal;9;306;6;11;0
dragonpt;Portugal;21;305;4;6;0
DanielAndreasen;Porto, Portugal;7;305;1;9;0
gmcabrita;Portugal;12;303;37;46;0
gordalina;Lisbon, Portugal;42;301;120;4;2
cossou;Lisbon, Portugal;8;300;75;9;2
ammendonca;Lisbon, Portugal;3;300;3;5;0
ricardofbarros;Lisbon, Portugal;4;294;8;4;3
fixe;Braga, Portugal;32;292;0;14;0
ric2b;Lisbon, Portugal;5;291;4;10;0
jsvd;Portugal;10;278;29;5;2
goncalor;Portugal;5;275;4;18;0
davidcunha;Portugal;5;274;2;9;0
furypt;Lisbon, Portugal;18;270;3;19;0
ruippeixotog;Porto, Portugal;22;269;35;7;0
JoRod94;Portugal;7;268;0;10;0
mccricardo;Porto, Portugal;4;257;8;10;0
miguelcma;Lisbon, Portugal;5;255;1;8;0
tdantas;Lisbon, Portugal;52;254;68;7;0
gioman;Évora, Portugal;2;253;2;5;0
psenough;Monte da Caparica, Portugal;28;250;26;8;0
StuntsPT;Portugal;9;249;36;11;3
marcomarinho;Portugal;5;248;2;9;0
luismbo;Portugal;41;248;77;26;0
miguelgazela;Portugal;6;248;13;42;2
g-andrade;Portugal;3;248;3;18;0
josemota;Águeda, Portugal;174;247;73;6;0
dialex;Portugal;13;246;20;3;0
psalterio;Portugal;4;244;5;6;0
samaxes;Coimbra, Portugal;13;244;141;7;0
cidadao;Portugal;8;243;29;5;0
jpdias;Porto, Portugal;9;238;0;15;0
SrNetoChan;Portugal;2;238;1;5;0
gdiasdasilva;Lisbon, Portugal;5;237;0;5;0
joao-carloto;Coimbra, Portugal;3;237;23;8;3
LordFokas;Portugal;16;237;30;9;0
joaoffpereira;Barcelos - Braga - Portugal;5;234;0;8;0
nunoh;Porto, Portugal;13;234;8;5;0
jcazevedo;Portugal;54;232;18;5;0
Thaenor;Portugal;6;232;0;6;0
Pyker;Portugal;7;231;1;6;0
andre-nunes;Lisbon, Portugal;18;229;2;13;0
JPPinto;Porto, Portugal;11;227;0;15;0
BrunoBernardino;Porto, Portugal;25;226;26;7;0
vmlf01;Lisbon, Portugal;6;224;4;12;0
petermlm;Portugal;3;224;30;12;0
ricardomv;Portugal;3;220;6;7;0
pluralism;Porto, Portugal;4;219;18;6;0
joaopms;Portugal;3;217;1;8;0
rodrigojmlourenco;Lisbon, Portugal;3;215;1;9;9
radcortez;Coimbra, Portugal;37;215;116;12;0
borfast;Portugal;11;214;81;5;0
palves;Portugal;3;214;9;4;0
david;Portugal;22;213;27;7;0
vilaca;Portugal;9;212;15;7;0
meikibay;Portugal;5;205;0;2;0
marcoagpinto;Portugal;3;205;7;4;0
washimimizuku;Portugal;3;204;8;12;0
egorovpavel;Portugal;3;199;2;5;0
p1nh0;Porto, Portugal;9;198;13;3;0
andrembpontes;Portugal;4;196;0;5;0
Couto;Aveiro, Portugal;39;192;280;9;0
kelwinfc;Portugal;3;192;7;11;3
pgaspar;Coimbra, Portugal;41;191;58;6;0
masterkorp;Ponte de Lima, Portugal;22;188;51;6;3
lmartins;Portugal;8;188;1;6;5
gangsterveggies;Portugal;10;188;4;4;0
rolpereira;Portugal;2;186;26;86;0
xipasduarte;Portugal;2;186;1;6;0
MacedoRAC;Porto, Portugal;15;186;0;12;0
claudio-silva;Portugal;4;185;37;7;0
GGraca;Coimbra, Portugal;12;184;0;7;0
JWebCoder;Portugal;5;178;12;5;0
nunofmaia;Lisbon, Portugal;15;178;6;7;0
azevedo-252;Portugal;12;177;2;4;0
nunofgs;Braga, Portugal;13;177;1;4;0
diogoosorio;Lisboa, Portugal;7;174;7;5;0
brpaz;Portugal;3;173;1;5;0
faviouz;Portugal;17;172;42;4;3
mtpereira;Lisbon, Portugal;11;171;11;3;0
brunogaspar;Portugal;91;169;649;4;0
diogomonica;Lisbon, Portugal;48;169;55;4;0
luis100;Braga, Portugal;7;168;2;5;0
axfcampos;Portugal;12;168;3;8;0
gundisalwa;Cascais, Portugal;3;167;1;4;0
carlosefr;Lisbon, Portugal;5;166;18;5;0
goncalossilva;Porto, Portugal;76;166;661;6;0
davidelnunes;Portugal;2;162;2;3;0
Relfos;Portugal;7;161;21;8;2
nunorafaelrocha;Portugal;4;161;3;42;42
Rafael-Baltazar;Lisbon, Portugal;5;160;1;5;0
ruipgil;Portugal;27;160;5;9;0
jgrocha;Braga, Portugal;6;158;0;5;0
filipesousacardoso;Portugal;7;156;0;7;0
ruiquelhas;Portugal;10;153;10;6;0
kappy;Portugal;6;148;51;3;0
ampereira;Braga, Portugal;7;147;7;5;0
lmmendes;Portugal;8;147;9;4;0
dmarcelino;Lisbon, Portugal;3;146;2;8;0
Duknust;Portugal;5;146;5;11;3
rfgamaral;Portugal;9;146;61;12;0
cristiano2lopes;Portugal;3;146;0;4;0
gigacardoso;Portugal;16;145;1;11;0
lfac-pt;Portugal - Coimbra;21;145;11;4;0
ordepdev;Portugal;5;145;9;11;0
Guntler;Portugal;3;144;2;5;0
jfhenriques;Portugal;6;144;0;6;0
CarameloMartins;Portugal;3;143;2;4;0
cbartol;Portugal;16;142;0;4;0
leonardo-faria;Porto, Portugal;9;141;1;9;0
rikas;Lisbon / Portugal;38;138;32;5;0
emmartins;Sesimbra, Portugal;3;137;5;6;0
rjfv;Coimbra, Portugal;14;134;1;4;0
JoaoM10;Porto, Portugal;3;134;0;8;0
semeano;Portugal;8;133;27;5;2
hugopeixoto;Porto, Portugal;31;132;34;6;0
noisebleed;Portugal;9;129;21;5;0
dgomes;Aveiro, Portugal;50;129;31;7;0
gil-l;Portugal;5;128;0;4;0
fampinheiro;Lisbon, Portugal;12;125;0;3;0
yriveiro;Porto, Portugal;6;125;10;6;0
rapzo;Braga, Portugal;18;124;0;9;0
aiscarvalho;Porto, Portugal;9;124;1;4;0
flaviojs;Portugal;20;122;9;4;0
josemarcelino;Portugal;17;120;12;4;0
premasagar;Coimbra, Portugal & Brighton, UK;100;117;760;2;0
jpmcosta;Portugal;10;117;0;5;0
arestivo;Porto, Portugal;17;116;17;5;0
fabiocarballo;Portugal;10;114;0;4;0
hailtonsilva;Portugal;3;113;3;3;0
letz;Portugal;13;113;4;3;0
lfiolhais;Lisbon, Portugal;4;113;1;7;0
foliveira;Lisbon, Portugal;16;112;1;5;0
diogo-gsa;Portugal;4;111;0;15;0
